,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,target
137,0.414,https://api.spotify.com/v1/audio-analysis/6f3Slt0GbA2bPZlz0aIFXN,0.798,164000,0.62,6f3Slt0GbA2bPZlz0aIFXN,0.0192,8,0.112,-7.079,0,0.232,120.031,4,https://api.spotify.com/v1/tracks/6f3Slt0GbA2bPZlz0aIFXN,audio_features,spotify:track:7li8rJ9EFVTzZkR7whXJ3u,0.235,0
138,0.44,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,0.761,238805,0.525,3USxtqRwSYz57Ewm6wWRMp,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,audio_features,spotify:track:6cA8yDBX9TUen9VzIgoL1x,0.531,0
139,0.777,https://api.spotify.com/v1/audio-analysis/0ri0Han4IRJhzvERHOZTMr,0.813,170345,0.415,0ri0Han4IRJhzvERHOZTMr,0.0,0,0.131,-5.926,1,0.0349,91.921,4,https://api.spotify.com/v1/tracks/0ri0Han4IRJhzvERHOZTMr,audio_features,spotify:track:3lIvm65ESTYtJ66VmIyJem,0.667,0
140,0.0112,https://api.spotify.com/v1/audio-analysis/0v1x6rN6JHRapa03JElljE,0.746,199054,0.765,0v1x6rN6JHRapa03JElljE,0.0,6,0.0936,-4.41,0,0.0993,114.044,4,https://api.spotify.com/v1/tracks/0v1x6rN6JHRapa03JElljE,audio_features,spotify:track:5LXdAueF0raRI8ZF3ywdWM,0.737,0
141,0.584,https://api.spotify.com/v1/audio-analysis/4xqrdfXkTW4T0RauPLv3WA,0.357,198040,0.425,4xqrdfXkTW4T0RauPLv3WA,0.0,5,0.322,-7.301,1,0.0333,102.078,3,https://api.spotify.com/v1/tracks/4xqrdfXkTW4T0RauPLv3WA,audio_features,spotify:track:0Td7fSJnnP609ZBiK0s6rc,0.27,0
142,0.795,https://api.spotify.com/v1/audio-analysis/4OBZT9EnhYIV17t4pGw7ig,0.473,209400,0.371,4OBZT9EnhYIV17t4pGw7ig,0.0,4,0.109,-10.219,0,0.0405,75.208,4,https://api.spotify.com/v1/tracks/4OBZT9EnhYIV17t4pGw7ig,audio_features,spotify:track:065J6YUGz8tN0A3TkRrWtP,0.413,0
143,0.279,https://api.spotify.com/v1/audio-analysis/3npzogdOEiVsieXmmhBepL,0.612,197293,0.57,3npzogdOEiVsieXmmhBepL,0.0,11,0.0963,-6.642,0,0.0347,77.004,4,https://api.spotify.com/v1/tracks/3npzogdOEiVsieXmmhBepL,audio_features,spotify:track:33gwZOGJWEZ7dRWPqPxBEZ,0.335,0
144,0.604,https://api.spotify.com/v1/audio-analysis/2gMXnyrvIjhVBUZwvLZDMP,0.459,215107,0.575,2gMXnyrvIjhVBUZwvLZDMP,0.0,3,0.0885,-4.858,1,0.0573,111.881,4,https://api.spotify.com/v1/tracks/2gMXnyrvIjhVBUZwvLZDMP,audio_features,spotify:track:5RmUd1skWw9kMFlxPgfcYW,0.183,0
145,0.0765,https://api.spotify.com/v1/audio-analysis/6zeeWid2sgw4lap2jV61PZ,0.596,229320,0.552,6zeeWid2sgw4lap2jV61PZ,0.334,0,0.104,-10.278,0,0.097,97.949,4,https://api.spotify.com/v1/tracks/6zeeWid2sgw4lap2jV61PZ,audio_features,spotify:track:5XqDJFVCyRTm5J7cIfRmR1,0.112,0
146,0.183,https://api.spotify.com/v1/audio-analysis/1Cv1YLb4q0RzL6pybtaMLo,0.878,158571,0.525,1Cv1YLb4q0RzL6pybtaMLo,0.0,5,0.0714,-6.832,1,0.0578,112.022,4,https://api.spotify.com/v1/tracks/1Cv1YLb4q0RzL6pybtaMLo,audio_features,spotify:track:0KS2h61pHQ4WmOwruD7uxD,0.694,0
